from;to;weight
Hermine;Harry;3
Harry;Hermine;3
Harry;Snape;1
Snape;Harry;1
Dumbledore;Harry;2
Harry;Dumbledore;2
Ron;Harry;3
Harry;Ron;3
Ron;Hermine;3
Hermine;Ron;3
Snape;Voldemort;2
Voldemort;Snape;1
Snape;Dumbledore;1
Dumbledore;Snape;1
Draco;Snape;2
Snape;Draco;2
Draco;Dumbledore;1
Dumbledore;Draco;1
